gene	crak_gene	clade	subclade
MM.2017braw_49995775	CK_Syn_RS9907_01798	II	IIa
MM.2017braw_133989870	CK_Syn_TAK9802_01270	II	IIa
MM.2017braw_155082036	CK_Syn_CC9605_02620	II	IIc
MM.2017braw_69469816	CK_Syn_PROS-9-1_00933	I	Ib
MM.2017braw_138632045	CK_Syn_WH8109_02054	II	IIa
MM.2017braw_197651021	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_94693667	CK_Syn_A15-44_02245	II	IIa
MM.2017braw_109311944	CK_Syn_A15-127_02815	WPC1	WPC1
MM.2017braw_145844240	CK_Syn_RCC307_01633	5.3	5.3
MM.2017braw_164556758	CK_Syn_RCC307_01362	5.3	5.3
MM.2017braw_186176174	CK_Syn_WH8102_02507	III	IIIa
MM.2017braw_58540694	CK_Syn_KORDI-52_27020	II	IIa
MM.2017braw_76606049	CK_Syn_PROS-9-1_01446	I	Ib
MM.2017braw_102258633	CK_Syn_KORDI-49_16370	WPC1	WPC1
MM.2017braw_152990272	CK_Syn_KORDI-49_06830	WPC1	WPC1
MM.2017braw_157282720	CK_Syn_M16.1_01584	II	IIa
MM.2017braw_172949406	CK_Syn_PROS-U-1_01767	II	IIh
MM.2017braw_93291218	CK_Syn_CC9605_01604	II	IIc
MM.2017braw_9935188	CK_Syn_RS9902_00946	II	IIa
MM.2017braw_169135493	CK_Syn_A15-28_02058	III	IIIb
MM.2017braw_176625873	CK_Syn_RS9907_00111	II	IIa
MM.2017braw_181009713	CK_Syn_RCC307_02186	5.3	5.3
MM.2017braw_195366546	CK_Syn_MINOS11_00740	5.3	5.3
MM.2017braw_78624286	CK_Syn_MVIR-18-1_00417	I	Ib
MM.2017braw_92626928	CK_Syn_PROS-9-1_00120	I	Ib
MM.2017braw_96917921	CK_Syn_CB0101_05981	5.2	5.2A
MM.2017braw_96996266	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_112281839	CK_Syn_WH8109_00330	II	IIa
MM.2017braw_113012739	CK_Syn_MVIR-18-1_01592	I	Ib
MM.2017braw_142173374	CK_Syn_WH8109_01394	II	IIa
MM.2017braw_16127675	CK_Syn_A15-44_01137	II	IIa
MM.2017braw_35860765	CK_Syn_CC9605_02559	II	IIc
MM.2017braw_74862485	CK_Syn_CC9616_00167	EnvC	EnvC
MM.2017braw_132120931	CK_Syn_BL107_08284	IV	IVa
MM.2017braw_143653895	CK_Syn_CC9616_00273	EnvC	EnvC
MM.2017braw_145311920	CK_Syn_CC9311_00114	I	Ia
MM.2017braw_184643093	CK_Syn_WH8109_26319	II	IIa
MM.2017braw_81184374	CK_Syn_CC9605_01488	II	IIc
MM.2017braw_88566781	CK_Syn_KORDI-52_10940	II	IIa
MM.2017braw_94199652	CK_Syn_BL107_12765	IV	IVa
MM.2017braw_171151354	CK_Syn_A18-40_02421	III	IIIa
MM.2017braw_3064082	MO_Syn_PH41509_01790		
MM.2017braw_41887766	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_143651433	CK_Syn_BMK-MC-1_01237	V	V
MM.2017braw_175697889	CK_Syn_KORDI-49_13390	WPC1	WPC1
MM.2017braw_37928103	CK_Syn_RS9902_02897	II	IIa
MM.2017braw_103038083	CK_Syn_M16.1_01869	II	IIa
MM.2017braw_144743615	CK_Syn_CC9616_01766	EnvC	EnvC
MM.2017braw_111595327	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_125339976	CK_Syn_A18-46.1_02929	III	IIIa
MM.2017braw_143735216	CK_Syn_PROS-9-1_01609	I	Ib
MM.2017braw_48668737	CK_Syn_CC9902_02214	IV	IVa
MM.2017braw_73123353	CK_Syn_RCC307_01634	5.3	5.3
MM.2017braw_74884517	CK_Syn_PROS-U-1_02396	II	IIh
MM.2017braw_104435506	MO_Syn_PH41509_02108		
MM.2017braw_113918084	CK_Syn_MVIR-18-1_01629	I	Ib
MM.2017braw_181910437	MO_Syn_PH41509_02108		
MM.2017braw_14366943	CK_Syn_A15-62_00230	II	IIc
MM.2017braw_186463507	CK_Syn_BIOS-E4-1_04520	CRD1	CRD1b
MM.2017braw_53969271	CK_Syn_PROS-U-1_02396	II	IIh
MM.2017braw_135818727	CK_Syn_CC9616_00418	EnvC	EnvC
MM.2017braw_145971718	CK_Syn_KORDI-52_01130	II	IIa
MM.2017braw_151572269	CK_Syn_A15-127_02757	WPC1	WPC1
MM.2017braw_156270337	CK_Syn_NOUM97013_02887	VII	VIIb
MM.2017braw_197644195	CK_Syn_KORDI-100_29890	UC-A	UC-A
MM.2017braw_27058591	CK_Syn_CB0205_12240	5.2	5.2A
MM.2017braw_52853578	CK_Syn_BL107_12275	IV	IVa
MM.2017braw_103627735	CK_Syn_MINOS11_00231	5.3	5.3
MM.2017braw_113132517	CK_Syn_CC9902_00702	IV	IVa
MM.2017braw_139915679	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_159653362	CK_Syn_A15-28_02000	III	IIIb
MM.2017braw_23842105	CK_Syn_TAK9802_00117	II	IIa
MM.2017braw_25768805	MO_Syn_PH41509_01443		
MM.2017braw_5331619	CK_Syn_WH8020_01599	I	Ia
MM.2017braw_84779884	CK_Syn_RS9907_01570	II	IIa
MM.2017braw_122315823	CK_Syn_CC9616_02032	EnvC	EnvC
MM.2017braw_144760907	CK_Syn_A15-127_02032	WPC1	WPC1
MM.2017braw_159058019	CK_Syn_PROS-9-1_00120	I	Ib
MM.2017braw_187999682	CK_Syn_WH8020_01517	I	Ia
MM.2017braw_22806608	MO_Syn_PH41509_01261		
MM.2017braw_29386747	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_37700217	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_62134504	CK_Syn_BL107_11911	IV	IVa
MM.2017braw_64569196	CK_Syn_SYN20_03445	I	Ib
MM.2017braw_104556691	CK_Syn_BL107_08284	IV	IVa
MM.2017braw_106646643	MO_Syn_PH41509_02126		
MM.2017braw_113078789	CK_Syn_PROS-9-1_00405	I	Ib
MM.2017braw_158699068	CK_Syn_M16.1_00315	II	IIa
MM.2017braw_44153507	CK_Syn_A15-62_01661	II	IIc
MM.2017braw_60193459	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_106372373	CK_Syn_RS9907_00310	II	IIa
MM.2017braw_153658572	CK_Syn_CC9902_01761	IV	IVa
MM.2017braw_171542767	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_37633654	CK_Syn_A15-62_01661	II	IIc
MM.2017braw_58965840	CK_Syn_CC9605_00325	II	IIc
MM.2017braw_19567530	CK_Syn_BL107_12765	IV	IVa
MM.2017braw_72579956	CK_Syn_MINOS11_01472	5.3	5.3
MM.2017braw_112397648	CK_Syn_BL107_12275	IV	IVa
MM.2017braw_151195097	CK_Syn_A15-127_01528	WPC1	WPC1
MM.2017braw_17869378	CK_Syn_TAK9802_00205	II	IIa
MM.2017braw_187854975	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_45255053	CK_Syn_A18-25c_03096	VII	VIIa
MM.2017braw_74182036	CK_Syn_CC9311_00939	I	Ia
MM.2017braw_78924462	CK_Syn_BL107_06034	IV	IVa
MM.2017braw_93033464	CK_Syn_A15-62_01179	II	IIc
MM.2017braw_98913503	CK_Syn_KORDI-100_18710	UC-A	UC-A
MM.2017braw_156032770	CK_Syn_A15-28_01432	III	IIIb
MM.2017braw_158789128	CK_Syn_BL107_15555	IV	IVa
MM.2017braw_180441835	CK_Syn_CC9605_01578	II	IIc
MM.2017braw_191719486	CK_Syn_KORDI-100_29180	UC-A	UC-A
MM.2017braw_59711404	CK_Syn_CC9902_02002	IV	IVa
MM.2017braw_80534536	CK_Syn_CC9902_01183	IV	IVa
MM.2017braw_102940028	CK_Syn_RS9902_02897	II	IIa
MM.2017braw_112809417	CK_Syn_WH8109_00201	II	IIa
MM.2017braw_129933618	CK_Syn_TAK9802_00117	II	IIa
MM.2017braw_194519375	MO_Syn_PH41509_02108		
MM.2017braw_62679747	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_82540106	CK_Syn_CC9605_01959	II	IIc
MM.2017braw_125755884	CK_Syn_CC9311_02119	I	Ia
MM.2017braw_135800639	CK_Syn_WH8102_01797	III	IIIa
MM.2017braw_182092385	CK_Syn_RS9915_01539	III	IIIa
MM.2017braw_195914011	CK_Syn_KORDI-100_03100	UC-A	UC-A
MM.2017braw_52260163	CK_Syn_WH8020_02995	I	Ia
MM.2017braw_52459523	CK_Syn_BL107_06034	IV	IVa
MM.2017braw_94066199	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_131185103	CK_Syn_RCC307_01361	5.3	5.3
MM.2017braw_179477561	CK_Syn_MINOS11_01731	5.3	5.3
MM.2017braw_182081191	CK_Syn_RCC307_01614	5.3	5.3
MM.2017braw_38625205	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_49919046	CK_Syn_A15-127_02815	WPC1	WPC1
MM.2017braw_52219022	CK_Syn_RS9902_01466	II	IIa
MM.2017braw_121441589	CK_Syn_WH8109_00330	II	IIa
MM.2017braw_137810948	CK_Syn_WH8109_01173	II	IIa
MM.2017braw_149525290	CK_Syn_MINOS11_02644	5.3	5.3
MM.2017braw_174979997	CK_Syn_KORDI-100_18970	UC-A	UC-A
MM.2017braw_97631341	CK_Syn_CC9311_00247	I	Ia
MM.2017braw_169962169	CK_Syn_A15-44_00200	II	IIa
MM.2017braw_187156863	CK_Syn_KORDI-100_29890	UC-A	UC-A
MM.2017braw_188647049	CK_Syn_RS9916_28769	IX	IX
MM.2017braw_63006507	CK_Syn_CC9902_02002	IV	IVa
MM.2017braw_78756832	CK_Syn_CC9311_00386	I	Ia
MM.2017braw_126089871	CK_Syn_CC9902_02017	IV	IVa
MM.2017braw_160554545	CK_Syn_CC9605_00208	II	IIc
MM.2017braw_89569988	CK_Syn_MINOS11_01555	5.3	5.3
MM.2017braw_133295802	CK_Syn_KORDI-49_06830	WPC1	WPC1
MM.2017braw_149087695	CK_Syn_RS9915_00255	III	IIIa
MM.2017braw_177361614	CK_Syn_A15-127_02032	WPC1	WPC1
MM.2017braw_194643962	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_21968133	MO_Syn_PH41509_00676		
MM.2017braw_67092799	CK_Syn_MVIR-18-1_00417	I	Ib
MM.2017braw_112475434	CK_Syn_RS9907_01254	II	IIa
MM.2017braw_126918199	CK_Syn_A15-24_01991	III	IIIa
MM.2017braw_188545960	CK_Syn_TAK9802_01533	II	IIa
MM.2017braw_193891933	CK_Syn_BOUM118_01063	III	IIIa
MM.2017braw_195539867	CK_Syn_TAK9802_02630	II	IIa
MM.2017braw_53012820	MO_Syn_HBP1109_00139		
MM.2017braw_74141775	CK_Syn_MVIR-18-1_01532	I	Ib
MM.2017braw_77253291	CK_Syn_KORDI-100_13740	UC-A	UC-A
MM.2017braw_85232511	CK_Syn_KORDI-49_05530	WPC1	WPC1
MM.2017braw_114048924	CK_Syn_RS9907_00192	II	IIa
MM.2017braw_117416061	CK_Syn_WH8020_03121	I	Ia
MM.2017braw_154514435	CK_Syn_A15-62_00230	II	IIc
MM.2017braw_170251567	CK_Syn_RCC307_01634	5.3	5.3
MM.2017braw_193531119	CK_Syn_RS9907_01782	II	IIa
MM.2017braw_20925258	CK_Syn_RS9907_01655	II	IIa
MM.2017braw_56618889	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_11534514	CK_Syn_WH8020_00964	I	Ia
MM.2017braw_142395029	CK_Syn_WH8020_00914	I	Ia
MM.2017braw_149121606	CK_Syn_WH8102_01815	III	IIIa
MM.2017braw_47194356	CK_Syn_BIOS-E4-1_01371	CRD1	CRD1b
MM.2017braw_69725557	MO_Syn_PH41509_02126		
MM.2017braw_117491962	CK_Syn_A15-127_00593	WPC1	WPC1
MM.2017braw_118311761	CK_Syn_WH8016_02008	I	Ib
MM.2017braw_119101806	CK_Syn_SYN20_03296	I	Ib
MM.2017braw_126493590	CK_Syn_RCC307_01634	5.3	5.3
MM.2017braw_185857477	CK_Syn_RS9907_01655	II	IIa
MM.2017braw_45602155	CK_Syn_WH8109_00202	II	IIa
MM.2017braw_86749320	CK_Syn_RCC307_01457	5.3	5.3
MM.2017braw_126351251	CK_Syn_WH8109_26319	II	IIa
MM.2017braw_29845552	CK_Syn_A15-28_01059	III	IIIb
MM.2017braw_38308245	CK_Syn_BL107_09776	IV	IVa
MM.2017braw_44093459	CK_Syn_A15-62_00646	II	IIc
MM.2017braw_68846541	CK_Syn_CC9902_01313	IV	IVa
MM.2017braw_150171025	CK_Syn_WH8102_02487	III	IIIa
MM.2017braw_159378624	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_168108048	CK_Syn_TAK9802_01004	II	IIa
MM.2017braw_21866704	CK_Syn_RS9916_29814	IX	IX
MM.2017braw_53405668	CK_Syn_M16.1_01353	II	IIa
MM.2017braw_78035860	CK_Syn_MINOS11_02322	5.3	5.3
MM.2017braw_91130022	CK_Syn_WH8020_00145	I	Ia
MM.2017braw_113549528	CK_Syn_M16.1_00315	II	IIa
MM.2017braw_12265522	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_176595793	CK_Syn_WH8020_03121	I	Ia
MM.2017braw_195058781	CK_Syn_CC9616_01447	EnvC	EnvC
MM.2017braw_49319898	CK_Syn_RS9916_38157	IX	IX
MM.2017braw_77331375	CK_Syn_CC9902_01078	IV	IVa
MM.2017braw_99285838	CK_Syn_KORDI-49_02160	WPC1	WPC1
MM.2017braw_80252465	CK_Syn_A15-62_01661	II	IIc
MM.2017braw_96634874	CK_Syn_CC9902_00235	IV	IVa
MM.2017braw_115162089	CK_Syn_CC9605_01604	II	IIc
MM.2017braw_129262021	CK_Syn_MINOS11_02644	5.3	5.3
MM.2017braw_133743578	CK_Syn_CB0205_12240	5.2	5.2A
MM.2017braw_136110932	CK_Syn_KORDI-100_09650	UC-A	UC-A
MM.2017braw_136125544	CK_Syn_RCC307_01649	5.3	5.3
MM.2017braw_141136923	CK_Syn_KORDI-49_11570	WPC1	WPC1
MM.2017braw_168951412	CK_Syn_RS9916_30389	IX	IX
MM.2017braw_196939185	CK_Syn_PROS-U-1_31128	II	IIh
MM.2017braw_201029487	CK_Syn_RS9907_01798	II	IIa
MM.2017braw_46776914	CK_Syn_MINOS11_01472	5.3	5.3
MM.2017braw_161180561	CK_Syn_RS9907_02921	II	IIa
MM.2017braw_180668849	CK_Syn_TAK9802_01043	II	IIa
MM.2017braw_20859399	CK_Syn_MINOS11_01763	5.3	5.3
MM.2017braw_147449291	CK_Syn_BL107_13895	IV	IVa
MM.2017braw_157029612	CK_Syn_A15-28_00134	III	IIIb
MM.2017braw_167503016	CK_Syn_WH7805_04171	VI	VIa
MM.2017braw_198021472	CK_Syn_KORDI-52_27470	II	IIa
MM.2017braw_42999712	CK_Syn_A15-44_01466	II	IIa
MM.2017braw_43275615	CK_Syn_RS9907_00310	II	IIa
MM.2017braw_63516454	CK_Syn_WH8109_01394	II	IIa
MM.2017braw_74941611	CK_Syn_A15-44_02245	II	IIa
MM.2017braw_83158887	CK_Syn_CC9616_00445	EnvC	EnvC
MM.2017braw_134388929	CK_Syn_CC9616_01766	EnvC	EnvC
MM.2017braw_139331356	CK_Syn_TAK9802_00322	II	IIa
MM.2017braw_146443086	CK_Syn_KORDI-100_13500	UC-A	UC-A
MM.2017braw_179462003	CK_Syn_KORDI-49_12600	WPC1	WPC1
MM.2017braw_77266410	CK_Syn_SYN20_01804	I	Ib
MM.2017braw_84110246	CK_Syn_A15-127_00381	WPC1	WPC1
MM.2017braw_87183432	CK_Syn_WH8109_01056	II	IIa
MM.2017braw_12427355	CK_Syn_WH8020_01517	I	Ia
MM.2017braw_23312073	MO_Syn_PH41509_01042		
MM.2017braw_23816542	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_64212640	CK_Syn_NOUM97013_01709	VII	VIIb
MM.2017braw_79865805	CK_Syn_RCC307_01634	5.3	5.3
MM.2017braw_121253571	CK_Syn_A15-44_00114	II	IIa
MM.2017braw_149638759	CK_Syn_TAK9802_00322	II	IIa
MM.2017braw_36268140	CK_Syn_A15-44_01910	II	IIa
MM.2017braw_71407318	CK_Syn_MINOS11_00231	5.3	5.3
MM.2017braw_79867626	CK_Syn_RS9916_38157	IX	IX
MM.2017braw_103551399	CK_Syn_RS9907_00111	II	IIa
MM.2017braw_107639860	CK_Syn_WH8102_01286	III	IIIa
MM.2017braw_110743792	CK_Syn_CC9605_01488	II	IIc
MM.2017braw_111090025	CK_Syn_RS9907_02211	II	IIa
MM.2017braw_141748968	CK_Syn_WH8103_01496	III	IIIa
MM.2017braw_152233043	CK_Syn_TAK9802_01997	II	IIa
MM.2017braw_183780186	CK_Syn_RS9907_02211	II	IIa
MM.2017braw_195912119	CK_Syn_RCC307_02475	5.3	5.3
MM.2017braw_5100565	CK_Syn_M16.1_01584	II	IIa
MM.2017braw_61899607	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_66529255	CK_Syn_MVIR-18-1_01671	I	Ib
MM.2017braw_78685064	CK_Syn_WH8016_01359	I	Ib
MM.2017braw_114227939	CK_Syn_PROS-U-1_00762	II	IIh
MM.2017braw_190663058	CK_Syn_MINOS11_00740	5.3	5.3
MM.2017braw_193469175	CK_Syn_RCC307_01362	5.3	5.3
MM.2017braw_195698232	CK_Syn_RS9902_00199	II	IIa
MM.2017braw_4792377	CK_Syn_WH8109_00330	II	IIa
MM.2017braw_71398813	CK_Syn_PROS-U-1_01664	II	IIh
MM.2017braw_7387939	CK_Syn_A15-62_01180	II	IIc
MM.2017braw_75849197	CK_Syn_BL107_08284	IV	IVa
MM.2017braw_94833393	CK_Syn_A15-24_00772	III	IIIa
MM.2017braw_105640477	CK_Syn_RCC307_00112	5.3	5.3
MM.2017braw_140438231	CK_Syn_CC9311_02811	I	Ia
MM.2017braw_155351716	CK_Syn_KORDI-49_06830	WPC1	WPC1
MM.2017braw_156456673	CK_Syn_A15-28_00134	III	IIIb
MM.2017braw_172093905	CK_Syn_RCC307_00112	5.3	5.3
MM.2017braw_57612853	CK_Syn_WH8020_01517	I	Ia
MM.2017braw_64871835	CK_Syn_CC9311_00386	I	Ia
MM.2017braw_72487437	CK_Syn_M16.1_01869	II	IIa
MM.2017braw_86132133	CK_Syn_WH8020_00964	I	Ia
MM.2017braw_60169183	CK_Syn_MINOS11_00740	5.3	5.3
MM.2017braw_61787234	CK_Syn_BL107_15555	IV	IVa
MM.2017braw_91641495	CK_Syn_CC9605_00108	II	IIc
MM.2017braw_112222619	CK_Syn_KORDI-49_02160	WPC1	WPC1
MM.2017braw_159051688	CK_Syn_CC9902_01313	IV	IVa
MM.2017braw_170255658	CK_Syn_MEDNS5_02809	VI	VIa
MM.2017braw_184331589	CK_Syn_RS9916_28369	IX	IX
MM.2017braw_24584611	CK_Syn_A15-62_02103	II	IIc
MM.2017braw_2779444	CK_Syn_RS9907_01655	II	IIa
MM.2017braw_5600458	CK_Syn_RCC307_02186	5.3	5.3
MM.2017braw_60425368	CK_Syn_A15-127_00132	WPC1	WPC1
MM.2017braw_120718308	CK_Syn_KORDI-52_27470	II	IIa
MM.2017braw_163577861	CK_Syn_A15-28_01357	III	IIIb
MM.2017braw_171680672	CK_Syn_PROS-9-1_00405	I	Ib
MM.2017braw_175302007	CK_Syn_RS9907_01253	II	IIa
MM.2017braw_192407201	CK_Syn_KORDI-49_12600	WPC1	WPC1
MM.2017braw_58383065	CK_Syn_RS9902_00111	II	IIa
MM.2017braw_87089368	CK_Syn_CC9902_00152	IV	IVa
MM.2017braw_149893860	CK_Syn_WH8101_01533	VIII	VIII
MM.2017braw_154261290	CK_Syn_WH8103_02052	III	IIIa
MM.2017braw_181134456	CK_Syn_KORDI-100_29180	UC-A	UC-A
MM.2017braw_28426668	CK_Syn_A15-62_02726	II	IIc
MM.2017braw_43309713	CK_Syn_CB0205_12240	5.2	5.2A
MM.2017braw_63584002	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_138886046	CK_Syn_MINOS11_01472	5.3	5.3
MM.2017braw_167994376	CK_Syn_WH8109_00201	II	IIa
MM.2017braw_182057811	CK_Syn_RCC307_02454	5.3	5.3
MM.2017braw_182477823	CK_Syn_RS9917_09316	VIII	VIII
MM.2017braw_58306151	CK_Syn_A15-127_02032	WPC1	WPC1
MM.2017braw_92625100	CK_Syn_CC9311_02631	I	Ia
MM.2017braw_142560887	CK_Syn_A15-127_02032	WPC1	WPC1
MM.2017braw_192639757	CK_Syn_CC9311_01758	I	Ia
MM.2017braw_71610604	CK_Syn_RS9902_02897	II	IIa
MM.2017braw_113952339	CK_Syn_CC9616_03145	EnvC	EnvC
MM.2017braw_134424996	MO_Syn_PH41509_00676		
MM.2017braw_18950676	CK_Syn_PROS-U-1_31128	II	IIh
MM.2017braw_192427770	CK_Syn_M16.1_00197	II	IIa
MM.2017braw_326838	CK_Syn_A15-62_00230	II	IIc
MM.2017braw_56504743	CK_Syn_CC9311_02631	I	Ia
MM.2017braw_83208632	CK_Syn_A15-127_02757	WPC1	WPC1
MM.2017braw_10701988	CK_Syn_WH7803_00175	V	V
MM.2017braw_114420393	CK_Syn_KORDI-49_06830	WPC1	WPC1
MM.2017braw_124863555	CK_Syn_RCC307_01633	5.3	5.3
MM.2017braw_154764591	CK_Syn_TAK9802_01533	II	IIa
MM.2017braw_180942916	CK_Syn_CB0205_11466	5.2	5.2A
MM.2017braw_21641617	CK_Syn_KORDI-100_30390	UC-A	UC-A
MM.2017braw_32749045	CK_Syn_M16.1_00197	II	IIa
MM.2017braw_36061820	CK_Syn_BL107_15555	IV	IVa
MM.2017braw_53964411	CK_Syn_RS9907_00192	II	IIa
MM.2017braw_73302510	CK_Syn_PROS-U-1_00279	II	IIh
MM.2017braw_101784878	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_138979953	CK_Syn_CC9605_01144	II	IIc
MM.2017braw_167649821	CK_Syn_RS9902_00326	II	IIa
MM.2017braw_46718539	CK_Syn_A18-40_02774	III	IIIa
MM.2017braw_70187397	CK_Syn_BL107_06034	IV	IVa
MM.2017braw_12563473	CK_Syn_CC9605_01604	II	IIc
MM.2017braw_133429237	CK_Syn_CC9616_00167	EnvC	EnvC
MM.2017braw_197167031	CK_Syn_WH8016_00973	I	Ib
MM.2017braw_35711358	CK_Syn_KORDI-100_16460	UC-A	UC-A
MM.2017braw_67266515	CK_Syn_CC9902_00235	IV	IVa
MM.2017braw_105943631	CK_Syn_RCC307_02165	5.3	5.3
MM.2017braw_109090659	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_111309123	CK_Syn_WH8109_00201	II	IIa
MM.2017braw_123562424	CK_Syn_RS9915_01539	III	IIIa
MM.2017braw_130982155	CK_Syn_KORDI-100_04240	UC-A	UC-A
MM.2017braw_135960010	CK_Syn_KORDI-49_27020	WPC1	WPC1
MM.2017braw_161667820	CK_Syn_A15-24_01966	III	IIIa
MM.2017braw_178938534	CK_Syn_A15-62_01661	II	IIc
MM.2017braw_31727046	MO_Syn_HBP1109_02271		
MM.2017braw_128576424	CK_Syn_BL107_11911	IV	IVa
MM.2017braw_135408986	CK_Syn_MINOS11_01731	5.3	5.3
MM.2017braw_144283570	CK_Syn_WH8020_03121	I	Ia
MM.2017braw_150720242	CK_Syn_RCC307_01614	5.3	5.3
MM.2017braw_189874858	CK_Syn_RCC307_01633	5.3	5.3
MM.2017braw_190186148	CK_Syn_TAK9802_00117	II	IIa
MM.2017braw_32536600	CK_Syn_RS9902_02897	II	IIa
MM.2017braw_35700677	CK_Syn_M16.1_01238	II	IIa
MM.2017braw_474280	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_59605873	CK_Syn_A15-62_00360	II	IIc
MM.2017braw_68212379	CK_Syn_KORDI-100_07510	UC-A	UC-A
MM.2017braw_7305676	CK_Syn_TAK9802_00205	II	IIa
MM.2017braw_112805883	CK_Syn_A15-24_00182	III	IIIa
MM.2017braw_114314827	CK_Syn_RS9907_00310	II	IIa
MM.2017braw_115230359	CK_Syn_SYN20_00327	I	Ib
MM.2017braw_115450252	CK_Syn_MITS9220_03010	CRD1	CRD1a
MM.2017braw_143514030	CK_Syn_RS9907_01655	II	IIa
MM.2017braw_143668563	CK_Syn_KORDI-100_16230	UC-A	UC-A
MM.2017braw_159119067	CK_Syn_RCC307_01649	5.3	5.3
MM.2017braw_169264856	CK_Syn_WH8102_01797	III	IIIa
MM.2017braw_184342630	CK_Syn_WH8102_02507	III	IIIa
MM.2017braw_196527373	CK_Syn_TAK9802_01189	II	IIa
MM.2017braw_66747683	MO_Syn_HBP1109_00139		
MM.2017braw_73543480	CK_Syn_RCC307_01634	5.3	5.3
MM.2017braw_86970914	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_92436306	CK_Syn_WH8016_00973	I	Ib
MM.2017braw_102922927	CK_Syn_RS9902_00326	II	IIa
MM.2017braw_103132446	CK_Syn_TAK9802_01068	II	IIa
MM.2017braw_117282108	CK_Syn_ROS8604_02310	I	Ib
MM.2017braw_147675136	CK_Syn_A15-44_01590	II	IIa
MM.2017braw_184163183	CK_Syn_RS9902_02897	II	IIa
MM.2017braw_30543800	CK_Syn_KORDI-49_15910	WPC1	WPC1
MM.2017braw_47369829	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_57131403	CK_Syn_RS9907_01570	II	IIa
MM.2017braw_73527903	CK_Syn_BIOS-E4-1_01371	CRD1	CRD1b
MM.2017braw_74433921	CK_Syn_SYN20_00756	I	Ib
MM.2017braw_112505886	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_139483776	CK_Syn_WH8020_00964	I	Ia
MM.2017braw_168906515	CK_Syn_CC9605_01578	II	IIc
MM.2017braw_177649870	CK_Syn_MINOS11_00786	5.3	5.3
MM.2017braw_50043180	CK_Syn_WH8020_01751	I	Ia
MM.2017braw_5076639	CK_Syn_A15-44_02245	II	IIa
MM.2017braw_80335197	CK_Syn_M16.1_01353	II	IIa
MM.2017braw_86576826	CK_Syn_MINOS11_02644	5.3	5.3
MM.2017braw_91428662	CK_Syn_KORDI-52_17190	II	IIa
MM.2017braw_93511076	CK_Syn_RS9907_01254	II	IIa
MM.2017braw_103277356	CK_Syn_M16.1_01353	II	IIa
MM.2017braw_126940093	CK_Syn_A15-24_00274	III	IIIa
MM.2017braw_15713695	CK_Syn_KORDI-49_16370	WPC1	WPC1
MM.2017braw_182973759	CK_Syn_BL107_15555	IV	IVa
MM.2017braw_189065062	CK_Syn_RS9915_02185	III	IIIa
MM.2017braw_195629705	CK_Syn_MINOS11_01555	5.3	5.3
MM.2017braw_64913640	MO_Syn_PH41509_00676		
MM.2017braw_79701441	MO_Syn_HBA1120_01962		
MM.2017braw_170578208	CK_Syn_KORDI-52_15860	II	IIa
MM.2017braw_39600819	MO_Syn_PH41509_01574		
MM.2017braw_87511544	CK_Syn_BL107_08369	IV	IVa
MM.2017braw_93047134	CK_Syn_RS9915_01352	III	IIIa
MM.2017braw_96163746	CK_Syn_KORDI-52_27020	II	IIa
MM.2017braw_111469626	CK_Syn_PROS-7-1_01856	VI	VIb
MM.2017braw_131380029	CK_Syn_SYN20_03445	I	Ib
MM.2017braw_139566313	CK_Syn_KORDI-52_01130	II	IIa
MM.2017braw_171527067	CK_Syn_WH8103_02896	III	IIIa
MM.2017braw_18472081	CK_Syn_WH8109_26319	II	IIa
MM.2017braw_47695984	CK_Syn_CC9605_02620	II	IIc
MM.2017braw_93196780	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_109706336	CK_Syn_KORDI-49_06830	WPC1	WPC1
MM.2017braw_132419925	CK_Syn_PROS-U-1_01356	II	IIh
MM.2017braw_17243024	CK_Syn_A15-127_01363	WPC1	WPC1
